year,enrollment_primary,enrollment_secondary,enrollment_primary_f,enrollment_primary_m,out_of_school,literacy_rate,pupil_teacher_ratio
2000,79.9403762817383,32.5775909423828,76.3413391113281,83.4527130126953,34.4790916442871,57.9000015258789,33.78522
2001,75.4195938110352,30.9433898925781,72.4266586303711,78.3417663574219,39.5224685668945,NA,32.5811
2002,78.8475799560547,32.267578125,75.720832824707,81.9014205932617,35.2796211242676,NA,32.10887
2003,76.3093490600586,33.6547889709473,73.464241027832,79.088981628418,35.2729797363281,NA,30.98782
2004,80.2254409790039,36.1445503234863,76.9789199829102,83.3982696533203,NA,NA,32.34112
2005,86.7024688720703,38.1276893615723,84.0598602294922,89.2856979370117,29.2638492584229,NA,32.81364
2006,91.2332763671875,39.8474884033203,89.4916381835938,92.9360427856445,26.8155899047852,NA,35.38932
2007,95.9956512451172,43.759521484375,94.2493133544922,97.7029266357422,21.6305999755859,NA,31.98986
2008,100.841491699219,46.0595817565918,99.0458068847656,102.597152709961,16.5170497894287,NA,32.24014
2009,99.0773620605469,47.9277191162109,97.3163681030273,100.799140930176,16.9132099151611,NA,33.11177
2010,NA,NA,NA,NA,NA,71.5,NA
2011,99.4130783081055,55.6069297790527,97.9845809936523,100.810020446777,11.2846919322893,NA,31.04223
2012,102.068698169955,56.7326017795109,97.797677459047,106.24643157909,13.300734156805,NA,32.98357
2013,101.089456129828,68.1991424560547,100.048635591502,102.107854131695,NA,NA,31.68167
2014,99.5600865756332,63.974569978053,98.5294552788797,100.568850119144,9.497733186379,NA,30.07899
2015,103.213138177351,67.0486566518056,102.149867456304,104.254217655692,NA,60.2198906165104,31.25587
2016,101.751107525308,67.2644101341977,101.362113388767,102.132029108592,0.242064536944613,NA,30.5794
2017,100.478896703055,66.6359450193038,99.9913543649594,100.956277392175,6.84285514537015,64.4899978637695,27.29644
2018,98.6813906905268,68.2222557975165,98.3121160000396,99.0428449507789,8.17129370301409,NA,27.24556
2019,99.8750321985622,71.1877006008423,99.582530465668,100.161262304637,5.51481162263524,NA,26.99486
2020,98.4048952723908,74.0102186341371,98.2911597096255,98.5161672260357,10.5618275440431,NA,NA
2021,99.4509436572472,76.2084742091088,99.2798438002636,99.6183079362512,9.94091987609863,76.4899978637695,NA
2022,98.2318953247047,77.8168696801948,96.837565132834,99.5955636413097,NA,NA,NA
2023,NA,NA,NA,NA,NA,NA,NA
